2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:09 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:05:10 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:29 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
